Tiempo[ms] �?Z[Ω] Z0[Ω] 
0.002 0.449442 36.8256 
0.003 0.469558 36.8256 
0.004 0.499733 36.8256 
0.005 0.541553 36.8256 
0.006 0.541553 36.8256 
0.007 0.541553 36.8256 
0.008 0.541553 36.8256 
0.009 0.541553 36.8256 
0.01 0.541553 36.8256 
0.011 0.541553 36.8256 
0.012 0.541553 36.8256 
0.013 0.541553 36.8256 
0.014 0.541553 36.8256 
0.015 0.541553 36.8256 
0.016 0.536789 36.8256 
0.017 0.510849 36.8256 
0.018 0.473264 36.8256 
0.019 0.438854 36.8256 
0.02 0.421385 36.8256 
0.021 0.427737 36.8256 
0.022 0.446795 36.8256 
0.023 0.466911 36.8256 
0.024 0.495498 36.8256 
0.025 0.53626 36.8256 
0.026 0.541553 36.8256 
0.027 0.541553 36.8256 
0.028 0.541553 36.8256 
0.029 0.541553 36.8256 
0.03 0.541553 36.8256 
0.031 0.541553 36.8256 
0.032 0.541553 36.8256 
0.033 0.541553 36.8256 
0.034 0.541553 36.8256 
0.035 0.541553 36.8256 
0.036 0.525672 36.8256 
0.037 0.492321 36.8256 
0.038 0.457912 36.8256 
0.039 0.429855 36.8256 
0.04 0.415561 36.8256 
0.041 0.422973 36.8256 
0.042 0.445207 36.8256 
0.043 0.470617 36.8256 
0.044 0.498674 36.8256 
0.045 0.537318 36.8256 
0.046 0.541553 36.8256 
0.047 0.541553 36.8256 
0.048 0.541553 36.8256 
0.049 0.541553 36.8256 
0.05 0.541553 36.8256 
0.051 0.541553 36.8256 
0.052 0.541553 36.8256 
0.053 0.541553 36.8256 
0.054 0.541553 36.8256 
0.055 0.541553 36.8256 
0.056 0.516673 36.8256 
0.057 0.481734 36.8256 
0.058 0.449971 36.8256 
0.059 0.429325 36.8256 
0.06 0.419797 36.8256 
0.061 0.42509 36.8256 
0.062 0.444677 36.8256 
0.063 0.470617 36.8256 
0.064 0.502379 36.8256 
0.065 0.539436 36.8256 
0.066 0.541553 36.8256 
0.067 0.541553 36.8256 
0.068 0.541553 36.8256 
0.069 0.541553 36.8256 
0.07 0.541553 36.8256 
0.071 0.541553 36.8256 
0.072 0.541553 36.8256 
0.073 0.541553 36.8256 
0.074 0.541553 36.8256 
0.075 0.541553 36.8256 
0.076 0.512438 36.8256 
0.077 0.474322 36.8256 
0.078 0.439913 36.8256 
0.079 0.419797 36.8256 
0.08 0.417679 36.8256 
0.081 0.427737 36.8256 
0.082 0.445736 36.8256 
0.083 0.469029 36.8256 
0.084 0.505556 36.8256 
0.085 0.541553 36.8256 
0.086 0.541553 36.8256 
0.087 0.541553 36.8256 
0.088 0.541553 36.8256 
0.089 0.541553 36.8256 
0.09 0.541553 36.8256 
0.091 0.541553 36.8256 
0.092 0.541553 36.8256 
0.093 0.541553 36.8256 
0.094 0.541553 36.8256 
0.095 0.541553 36.8256 
0.096 0.518261 36.8256 
0.097 0.488086 36.8256 
0.098 0.45103 36.8256 
0.099 0.422973 36.8256 
0.1 0.417679 36.8256 
0.101 0.431443 36.8256 
0.102 0.45103 36.8256 
0.103 0.471146 36.8256 
0.104 0.502379 36.8256 
0.105 0.541553 36.8256 
0.106 0.541553 36.8256 
0.107 0.541553 36.8256 
0.108 0.541553 36.8256 
0.109 0.541553 36.8256 
0.11 0.541553 36.8256 
0.111 0.541553 36.8256 
0.112 0.541553 36.8256 
0.113 0.541553 36.8256 
0.114 0.541553 36.8256 
0.115 0.541553 36.8256 
0.116 0.511379 36.8256 
0.117 0.476969 36.8256 
0.118 0.445207 36.8256 
0.119 0.420326 36.8256 
0.12 0.413973 36.8256 
0.121 0.428267 36.8256 
0.122 0.452618 36.8256 
0.123 0.476969 36.8256 
0.124 0.511379 36.8256 
0.125 0.541553 36.8256 
0.126 0.541553 36.8256 
0.127 0.541553 36.8256 
0.128 0.541553 36.8256 
0.129 0.541553 36.8256 
0.13 0.541553 36.8256 
0.131 0.541553 36.8256 
0.132 0.541553 36.8256 
0.133 0.541553 36.8256 
0.134 0.541553 36.8256 
0.135 0.541553 36.8256 
0.136 0.515614 36.8256 
0.137 0.477499 36.8256 
0.138 0.444677 36.8256 
0.139 0.422443 36.8256 
0.14 0.416091 36.8256 
0.141 0.427208 36.8256 
0.142 0.452089 36.8256 
0.143 0.479087 36.8256 
0.144 0.511379 36.8256 
0.145 0.541553 36.8256 
0.146 0.541553 36.8256 
0.147 0.541553 36.8256 
0.148 0.541553 36.8256 
0.149 0.541553 36.8256 
0.15 0.541553 36.8256 
0.151 0.541553 36.8256 
0.152 0.541553 36.8256 
0.153 0.541553 36.8256 
0.154 0.541553 36.8256 
0.155 0.537318 36.8256 
0.156 0.505556 36.8256 
0.157 0.467441 36.8256 
0.158 0.434619 36.8256 
0.159 0.41715 36.8256 
0.16 0.41662 36.8256 
0.161 0.428267 36.8256 
0.162 0.4505 36.8256 
0.163 0.479616 36.8256 
0.164 0.516673 36.8256 
0.165 0.541553 36.8256 
0.166 0.541553 36.8256 
0.167 0.541553 36.8256 
0.168 0.541553 36.8256 
0.169 0.541553 36.8256 
0.17 0.541553 36.8256 
0.171 0.541553 36.8256 
0.172 0.541553 36.8256 
0.173 0.541553 36.8256 
0.174 0.541553 36.8256 
0.175 0.533613 36.8256 
0.176 0.503968 36.8256 
0.177 0.471146 36.8256 
0.178 0.440972 36.8256 
0.179 0.422443 36.8256 
0.18 0.426149 36.8256 
0.181 0.44203 36.8256 
0.182 0.460559 36.8256 
0.183 0.482792 36.8256 
0.184 0.51932 36.8256 
0.185 0.541553 36.8256 
0.186 0.541553 36.8256 
0.187 0.541553 36.8256 
0.188 0.541553 36.8256 
0.189 0.541553 36.8256 
0.19 0.541553 36.8256 
0.191 0.541553 36.8256 
0.192 0.541553 36.8256 
0.193 0.541553 36.8256 
0.194 0.541553 36.8256 
0.195 0.534671 36.8256 
0.196 0.504497 36.8256 
0.197 0.469558 36.8256 
0.198 0.437795 36.8256 
0.199 0.416091 36.8256 
0.2 0.41662 36.8256 
0.201 0.435148 36.8256 
0.202 0.457912 36.8256 
0.203 0.480675 36.8256 
0.204 0.518261 36.8256 
0.205 0.541553 36.8256 
0.206 0.541553 36.8256 
0.207 0.541553 36.8256 
0.208 0.541553 36.8256 
0.209 0.541553 36.8256 
0.21 0.541553 36.8256 
0.211 0.541553 36.8256 
0.212 0.541553 36.8256 
0.213 0.541553 36.8256 
0.214 0.541553 36.8256 
0.215 0.523025 36.8256 
0.216 0.485439 36.8256 
0.217 0.451559 36.8256 
0.218 0.424032 36.8256 
0.219 0.406033 36.8256 
0.22 0.406562 36.8256 
0.221 0.423502 36.8256 
0.222 0.448383 36.8256 
0.223 0.473793 36.8256 
0.224 0.507673 36.8256 
0.225 0.541553 36.8256 
0.226 0.541553 36.8256 
0.227 0.541553 36.8256 
0.228 0.541553 36.8256 
0.229 0.541553 36.8256 
0.23 0.541553 36.8256 
0.231 0.531255 36.8256 
0.232 0.520956 36.8256 
0.233 0.510657 36.8256 
0.234 0.500358 36.8256 
0.235 0.490059 36.8256 
0.236 0.479761 36.8256 
0.237 0.469462 36.8256 
0.238 0.459163 36.8256 
0.239 0.448864 36.8256 
0.24 0.438565 36.8256 
0.241 0.428267 36.8256 
0.232 0.541553 36.8256 
0.233 0.541553 36.8256 
0.234 0.541553 36.8256 
0.235 0.51932 36.8256 
0.236 0.479616 36.8256 
0.237 0.444148 36.8256 
0.238 0.420855 36.8256 
0.239 0.409209 36.8256 
0.24 0.412915 36.8256 
0.241 0.428267 36.8256 
0.242 0.45103 36.8256 
0.243 0.479087 36.8256 
0.244 0.517731 36.8256 
0.245 0.541553 36.8256 
0.246 0.541553 36.8256 
0.247 0.541553 36.8256 
0.248 0.541553 36.8256 
0.249 0.541553 36.8256 
0.25 0.541553 36.8256 
0.251 0.541553 36.8256 
0.252 0.541553 36.8256 
0.253 0.541553 36.8256 
0.254 0.530436 36.8256 
0.255 0.497086 36.8256 
0.256 0.464794 36.8256 
0.257 0.430913 36.8256 
0.258 0.405503 36.8256 
0.259 0.395975 36.8256 
0.26 0.403386 36.8256 
0.261 0.419267 36.8256 
0.262 0.439383 36.8256 
0.263 0.467441 36.8256 
0.264 0.507144 36.8256 
0.265 0.541553 36.8256 
0.266 0.541553 36.8256 
0.267 0.541553 36.8256 
0.268 0.541553 36.8256 
0.269 0.541553 36.8256 
0.27 0.541553 36.8256 
0.271 0.541553 36.8256 
0.272 0.541553 36.8256 
0.273 0.541553 36.8256 
0.274 0.521437 36.8256 
0.275 0.479616 36.8256 
0.276 0.447324 36.8256 
0.277 0.418738 36.8256 
0.278 0.392798 36.8256 
0.279 0.381152 36.8256 
0.28 0.390681 36.8256 
0.281 0.410268 36.8256 
0.282 0.431443 36.8256 
0.283 0.460559 36.8256 
0.284 0.506085 36.8256 
0.285 0.541553 36.8256 
0.286 0.541553 36.8256 
0.287 0.541553 36.8256 
0.288 0.541553 36.8256 
0.289 0.541553 36.8256 
0.29 0.541553 36.8256 
0.291 0.541553 36.8256 
0.292 0.541553 36.8256 
0.293 0.541553 36.8256 
0.294 0.526201 36.8256 
0.295 0.486498 36.8256 
0.296 0.455265 36.8256 
0.297 0.427208 36.8256 
0.298 0.401798 36.8256 
0.299 0.388563 36.8256 
0.3 0.398092 36.8256 
0.301 0.420855 36.8256 
0.302 0.444677 36.8256 
0.303 0.470087 36.8256 
0.304 0.503968 36.8256 
0.305 0.539436 36.8256 
0.306 0.541553 36.8256 
0.307 0.541553 36.8256 
0.308 0.541553 36.8256 
0.309 0.541553 36.8256 
0.31 0.541553 36.8256 
0.311 0.541553 36.8256 
0.312 0.541553 36.8256 
0.313 0.541553 36.8256 
0.314 0.520908 36.8256 
0.315 0.479616 36.8256 
0.316 0.444677 36.8256 
0.317 0.421914 36.8256 
0.318 0.407091 36.8256 
0.319 0.397563 36.8256 
0.32 0.401798 36.8256 
0.321 0.418738 36.8256 
0.322 0.44203 36.8256 
0.323 0.470617 36.8256 
0.324 0.509791 36.8256 
0.325 0.541553 36.8256 
0.326 0.541553 36.8256 
0.327 0.541553 36.8256 
0.328 0.541553 36.8256 
0.329 0.541553 36.8256 
0.33 0.541553 36.8256 
0.331 0.541553 36.8256 
0.332 0.541553 36.8256 
0.333 0.541553 36.8256 
0.334 0.518261 36.8256 
0.335 0.483851 36.8256 
0.336 0.452618 36.8256 
0.337 0.422973 36.8256 
0.338 0.402856 36.8256 
0.339 0.397563 36.8256 
0.34 0.404974 36.8256 
0.341 0.421914 36.8256 
0.342 0.444677 36.8256 
0.343 0.475911 36.8256 
0.344 0.512967 36.8256 
0.345 0.541553 36.8256 
